tmdb_id,title,year,status,rt_url,rt_title,imdb_id,critics_score,critics_sentiment,audience_score,audience_sentiment,mpaa_rating
9452,Bulworth,1998,ok,https://www.rottentomatoes.com/m/bulworth,Bulworth,,76,POSITIVE,68,POSITIVE,R
9453,Caligula,1979,ok,https://www.rottentomatoes.com/m/caligula,Caligula,,18,NEGATIVE,38,NEGATIVE,
9454,EverAfter,1998,ok,https://www.rottentomatoes.com/m/ever_after_a_cinderella_story,Ever After: A Cinderella Story,,91,POSITIVE,84,POSITIVE,PG-13
9455,The Corruptor,1999,ok,https://www.rottentomatoes.com/m/corruptor,The Corruptor,,48,NEGATIVE,43,NEGATIVE,R
9456,The Crow: Salvation,2000,ok,https://www.rottentomatoes.com/m/crow_salvation,The Crow: Salvation,,18,NEGATIVE,43,NEGATIVE,R
9457,Deep Rising,1998,ok,https://www.rottentomatoes.com/m/deep_rising,Deep Rising,,36,NEGATIVE,44,NEGATIVE,R
9458,Desperate Measures,1998,ok,https://www.rottentomatoes.com/m/desperate_measures,Desperate Measures,,19,NEGATIVE,37,NEGATIVE,R
9459,Woodstock,1970,ok,https://www.rottentomatoes.com/m/woodstock_3_days_of_peace_and_music,Woodstock,,100,POSITIVE,92,POSITIVE,R
9460,Black Mask,1996,ok,https://www.rottentomatoes.com/m/black_mask,Black Mask,,50,NEGATIVE,50,NEGATIVE,R
9461,Enter the Dragon,1973,ok,https://www.rottentomatoes.com/m/enter_the_dragon,Enter the Dragon,,88,POSITIVE,91,POSITIVE,R
9462,The Way of the Dragon,1972,ok,https://www.rottentomatoes.com/m/return_of_the_dragon,Return of the Dragon,,88,POSITIVE,86,POSITIVE,R
9463,Vampire Hunter D,1985,ok,https://www.rottentomatoes.com/m/vampire_hunter_d,Vampire Hunter D,,80,POSITIVE,78,POSITIVE,
9464,Buffalo '66,1998,ok,https://www.rottentomatoes.com/m/buffalo_66,Buffalo 66,,77,POSITIVE,88,POSITIVE,R
9465,Cookie's Fortune,1999,ok,https://www.rottentomatoes.com/m/cookies_fortune,Cookie's Fortune,,86,POSITIVE,66,POSITIVE,PG-13
9466,Celebrity,1998,ok,https://www.rottentomatoes.com/m/1084868-celebrity,Celebrity,,43,NEGATIVE,42,NEGATIVE,R
9468,Margarete Steiff,2005,not_found,,,,,,,,
9469,He Got Game,1998,ok,https://www.rottentomatoes.com/m/he_got_game,He Got Game,,82,POSITIVE,83,POSITIVE,R
9470,Kung Fu Hustle,2004,ok,https://www.rottentomatoes.com/m/kung_fu_hustle,Kung Fu Hustle,,90,POSITIVE,89,POSITIVE,R
9471,Charlie's Angels: Full Throttle,2003,ok,https://www.rottentomatoes.com/m/charlies_angels_full_throttle,Charlie's Angels: Full Throttle,,41,NEGATIVE,40,NEGATIVE,PG-13
9472,DodgeBall: A True Underdog Story,2004,ok,https://www.rottentomatoes.com/m/dodgeball_a_true_underdog_story,Dodgeball: A True Underdog Story,,72,POSITIVE,76,POSITIVE,PG-13
9473,"South Park: Bigger, Longer & Uncut",1999,ok,https://www.rottentomatoes.com/m/south_park_bigger_longer_and_uncut,"South Park: Bigger, Longer & Uncut",,81,POSITIVE,88,POSITIVE,R
9474,My Name Is Nobody,1973,ok,https://www.rottentomatoes.com/m/my_name_is_nobody,My Name Is Nobody,,100,POSITIVE,83,POSITIVE,PG
